csv_row,isbn13,label,source,status,fields_found,fields_total,missing_fields,covers_written,reviews_written,genres_written,blurb_chars,warnings,book_url,error,out_dir
9629,9782877141598,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9630,9781558533639,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9631,9780373272471,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9632,9780340128725,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9633,9780486202235,,kobo,partial,6,7,origin,2,0,5,1848,11,https://www.kobo.com/us/en/ebook/the-common-spiders-of-the-united-states-7,,data
9634,9780373270859,,kobo,partial,6,7,origin,1,0,1,351,11,https://www.kobo.com/us/en/audiobook/egan-cassidy-s-kid-3,,data
9635,9780871881045,,kobo,partial,6,7,origin,1,0,2,360,11,https://www.kobo.com/us/en/audiobook/city-of-sorcery-2,,data
9636,9780310468424,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9637,9780440206361,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9638,9783596134199,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9639,9780688087272,,kobo,partial,6,7,origin,2,0,5,640,11,https://www.kobo.com/us/en/ebook/prince-of-chaos-1,,data
9640,9783442541935,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9641,9780684854878,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9642,9780801483899,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9643,9780688087265,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9644,9780671695712,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9645,9780877959267,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9646,9780375415166,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9647,9780877957188,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9648,9780373078196,,kobo,partial,6,7,origin,1,0,5,716,11,https://www.kobo.com/us/en/ebook/a-man-like-morgan-kane,,data
9649,9780385326582,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9650,9780373077076,,kobo,partial,6,7,origin,1,1,4,692,10,https://www.kobo.com/us/en/ebook/blackwood-s-woman,,data
9651,9780060007867,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9652,9780395366141,,kobo,partial,6,7,origin,1,0,5,1328,11,https://www.kobo.com/us/en/ebook/the-book-of-lost-tales-part-one-2,,data
9653,9780385230698,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9654,9781580172387,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9655,9780385286398,,kobo,partial,6,7,origin,2,0,4,1562,11,https://www.kobo.com/us/en/ebook/mazes-and-monsters-3,,data
9656,9780060183820,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9657,9780395355367,,kobo,partial,6,7,origin,1,0,3,1504,10,https://www.kobo.com/us/en/ebook/the-dungeon-master-5,,data
9658,9780448095707,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9659,9780684852980,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9660,9780743252140,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9661,9788432206818,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9662,9780553570939,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9663,9780345462152,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9664,9780836269130,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
9665,9780373258970,,kobo,skipped,0,0,,0,0,0,0,1,,,data
9666,9780449006368,,kobo,partial,6,7,origin,1,0,3,994,11,https://www.kobo.com/us/en/ebook/the-duke-3,,data
9667,9781567310801,,kobo,partial,6,7,origin,2,1,4,740,10,https://www.kobo.com/us/en/ebook/you-only-live-twice-26,,data
9668,9780740710209,,kobo,blocked,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,10,,,data
