csv_row,isbn13,label,source,status,fields_found,fields_total,missing_fields,covers_written,reviews_written,genres_written,blurb_chars,warnings,book_url,error,out_dir
86,9780590431019,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
87,9780307126894,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
88,9780812527445,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
89,9780553141429,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
90,9780553158106,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
91,9780671741884,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
92,9780817300319,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
93,9780451160577,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
94,9780671439378,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
95,9780425056523,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
96,9780671789626,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
97,9780590428040,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
98,9780590098908,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
99,9780590863704,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
100,9780553285604,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
101,9780425145326,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
102,9780553285079,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
103,9780440171676,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
104,9780515076387,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
105,9780380713189,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
106,9780812517828,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
107,9780061043949,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
108,9780821743164,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
109,9780944276761,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
110,9780446352314,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
111,9780505522351,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
112,9780590453455,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
113,9780553578034,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
114,9780671669409,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
115,9781558176133,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
116,9780932294098,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
117,9780802730824,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
118,9781878624444,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
119,9780394836645,,goodreads,skipped,0,0,,0,0,0,0,1,,,data
